PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-119.667,-5.93679,2741,1480,1605,0,0.0914504,119.22,24.3091,0,2.568
-101.177,28.6907,2776,1500,1605,0,0.0643469,119.269,24.1612,100,2.624
-43.51,34.9606,2836,1500,1605,0,-0.151398,119.314,24.3841,200,2.934
-40.3068,93.2849,2867,1496,1605,0,-0.460336,119.324,24.4617,300,3.075
2.3521,104.924,2896,1536,1605,0,-0.213264,119.301,24.0983,400,3.215
8.16404,160.144,2896,1536,1605,0,-0.570728,119.354,24.0152,500,3.37
14.4485,236.268,2961,1507,1500,0,-0.570728,119.354,25.6977,600,3.529
73.9706,171.434,2961,1507,1500,0,-0.959877,119.037,24.7416,700,3.628
84.4669,307.322,3011,1561,1500,0,-0.869714,119.085,24.732,800,3.764
118.044,222.139,3028,1546,1500,0,-0.869714,119.085,24.1677,900,3.764
168.846,287.772,3090,1546,1500,0,-2.27273,119.817,24.3212,1000,3.764
173.527,321.901,3100,1530,1500,0,-2.03055,119.821,24.4392,1100,0.478
206.227,344.887,3110,1530,1500,0,-0.876692,119.784,24.1636,1200,0.478
215.388,331.428,3106,1530,1500,0,-0.876692,119.784,24.3309,1301,0.478
221.403,364.684,3122,1540,1500,0,-0.876692,119.784,24.3628,1401,0.628
234.579,375.905,3125,1539,1500,0,-1.68485,120.519,24.2465,1501,0.881
266.622,366.711,3094,1568,1500,0,-2.09706,120.708,23.969,1601,0.97
272.801,348.652,3088,1547,1500,0,-4.00189,120.831,24.4643,1701,1.134
294.324,306.901,3099,1547,1500,0,-3.15733,120.632,24.436,1801,1.303
320.934,257.784,3073,1572,1500,0,-2.89425,120.37,24.7349,1901,1.476
320.941,272.505,3073,1573,1500,0,-4.44573,120.335,24.988,2001,1.696
339.877,228.397,3063,1569,1500,0,-4.44573,120.335,24.5118,2102,1.841
336.78,218.952,3059,1550,1500,0,-4.66977,119.919,24.5499,2202,2.006
298.433,219.848,3010,1515,1500,0,-4.66977,119.919,24.9603,2302,2.165
285.879,259.391,2995,1535,1500,0,-1.35425,119.489,25.2208,2402,2.31
268.707,220.482,2975,1536,1500,0,-0.948307,119.437,24.7267,2502,2.84
267.379,209.533,2978,1529,1500,0,-0.825034,119.434,24.8416,2602,2.952
225.479,209.6,2984,1529,1500,0,-0.825034,119.434,24.8945,2702,3.102
182.923,247.926,2982,1502,1500,0,0.739933,119.452,24.883,2802,3.191
184.832,229.13,3014,1534,1500,0,0.208201,120.092,24.7657,2902,3.289
174.097,243.352,3019,1522,1500,0,-0.0498749,120.258,24.723,3002,3.444
158.159,362.073,3046,1522,1500,0,0.197343,120.352,24.0386,3102,3.576
171.638,300.56,3048,1515,1500,0,0.570936,120.221,24.6767,3202,3.721
178.122,234.967,3052,1542,1500,0,-0.217651,120.383,24.0746,3302,3.782
181.043,249.119,3055,1535,1500,0,-0.495123,120.229,24.3921,3402,3.834
177.098,209.908,3056,1529,1500,0,-0.379056,119.832,24.6395,3502,3.913
226.59,176.999,3064,1529,1500,0,-0.203975,119.49,24.3716,3602,3.913
230.191,185.732,3056,1543,1500,0,-0.284503,119.419,24.335,3702,3.913
204.191,304.585,3051,1515,1500,0,-0.284503,119.419,24.1329,3802,0.159
288.714,219.68,3013,1515,1500,0,-0.203517,119.259,23.3521,3902,0.136
304.182,234.898,2970,1622,1500,0,-0.764361,119.7,23.2352,4002,0.136
312.053,241.168,2942,1560,1500,0,-7.47375,120.221,23.9812,4102,0.159
349.72,210.373,2923,1592,1500,0,-4.9868,119.851,23.9683,4202,0.201
361.24,68.261,2903,1572,1605,0,-6.50172,119.816,24.9182,4302,0.22
366.993,50.3573,2875,1572,1605,0,-5.33077,119.859,25.0588,4402,0.22
409.036,-5.22621,2890,1572,1605,0,-5.11578,120,25.0085,4502,0.22
444.285,-57.9302,2833,1606,1605,0,-7.30537,120.355,24.6625,4603,0.211
434.323,14.3004,2847,1566,1605,0,-7.78468,120.484,24.68,4703,0.211
420.694,18.7726,2738,1566,1605,0,-4.53444,120.837,24.3399,4803,0.197
