PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-80.1529,237.592,3029,1553,1500,0,-2.27405,-143.561,26.4269,0,0
85.8649,121.801,3056,1653,1605,0,-2.27405,-143.561,25.9479,100,0
176.655,118.871,3069,1653,1605,0,-2.27405,-143.561,25.4403,200,0
247.366,130.499,3117,1597,1605,0,-2.27405,-143.561,25.4237,300,0
287.154,29.098,3159,1597,1605,0,-2.27405,-143.561,25.1898,400,0
389.226,85.9125,3121,1577,1605,0,-7.98502,-149.593,24.9124,500,0
385.495,87.3984,3075,1577,1605,0,-7.98502,-149.593,25.3073,600,0
377.746,3.05531,3064,1556,1605,0,-3.26148,-149.235,25.2295,700,0
369.368,29.405,3002,1550,1605,0,-2.79697,-149.279,25.7115,800,0
340.848,-5.02956,2976,1550,1605,0,-2.59241,-149.363,25.059,900,0
314.013,14.1227,2961,1526,1605,0,-1.93116,-150.25,25.3917,1000,0
327.822,62.2175,2949,1563,1605,0,-1.93116,-150.25,26.1183,1100,0
199.705,19.8761,2900,1564,1605,0,-2.79387,-150.497,26.0373,1201,0
140.843,-18.2131,2925,1474,1605,0,-2.98099,-150.56,25.6182,1301,0
90.0171,-14.4299,2916,1474,1605,0,-2.98099,-150.56,26.0594,1401,0
47.3132,17.4264,2897,1474,1605,0,0.51021,-149.925,26.05,1501,0
-80.1332,78.89,2927,1383,1605,0,0.745628,-149.603,26.399,1601,0
-150.333,122.313,2922,1383,1605,0,7.67361,-149.129,25.9,1701,0
-213.462,137.349,2882,1417,1605,0,7.67361,-149.129,26.4775,1801,0
-276.357,152.986,2903,1417,1605,0,8.13,-147.548,26.8521,1901,0
-376.558,92.3741,2957,1417,1605,0,8.13,-147.548,27.4781,2001,0
