PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-110.603,262.553,3071,1478,1500,0,1.74091,-172.37,25.8139,0,0
-150.056,282.587,3089,1478,1500,0,0.918125,-172.274,26.2412,100,0
-151.105,318.479,3089,1417,1500,0,0.918125,-172.274,25.9782,200,0
-178.098,362.564,3087,1417,1500,0,5.62725,-172.593,25.8531,300,0
-162.766,320.32,3084,1423,1500,0,6.03966,-172.371,26.0155,400,0
-184.375,339.347,3089,1461,1500,0,4.71867,-172.12,26.0087,500,0
-138.569,324.735,3085,1491,1500,0,2.49088,-172.007,25.6725,600,0
-122.682,323.412,3112,1491,1500,0,2.49088,-172.007,25.9799,700,0
-103.832,308.701,3086,1491,1500,0,0.806529,-172.536,25.9679,800,0
-80.4156,265.117,3086,1473,1500,0,0.234411,-173.197,25.4631,900,0
-49.5398,315.867,3088,1480,1500,0,0.424366,-173.599,25.4946,1000,0
-45.8606,236.952,3106,1468,1500,0,0.27089,-173.843,25.4182,1100,0
-14.6133,227.991,3080,1468,1500,0,0.405784,-174.128,25.5234,1200,0
11.6527,235.208,3067,1496,1500,0,0.353983,-174.31,25.4236,1301,0
25.6823,228.14,3067,1488,1500,0,0.0395357,-174.491,25.3811,1401,0
45.1322,212.737,3074,1488,1500,0,-0.241206,-174.847,25.3139,1501,0
58.6533,219.402,3043,1492,1500,0,-0.350638,-175.017,25.6887,1602,0
59.0531,220.471,3045,1492,1500,0,-0.350638,-175.017,25.3695,1702,0
51.2511,182.012,3040,1473,1500,0,-0.476084,-174.791,24.9478,1802,0
64.6645,149.406,3046,1493,1605,0,-0.34386,-174.555,25.4283,1902,0
58.9799,159.415,3056,1493,1605,0,0.117635,-173.684,25.7127,2002,0
51.701,230.636,3040,1474,1500,0,0.496091,-173.078,25.3502,2102,0
44.822,229.852,3048,1473,1500,0,0.520247,-172.486,25.3949,2202,0
44.2642,189.536,3042,1473,1500,0,0.816848,-172.113,26.0775,2302,0
16.8209,185.111,3042,1452,1500,0,0.816848,-172.113,25.7402,2402,0
18.5572,198.848,3039,1477,1500,0,2.02862,-172.499,26.308,2503,0
1.7094,237.183,3027,1477,1500,0,1.0602,-172.75,25.855,2603,0
-1.28748,224.395,3029,1470,1500,0,0.464297,-173.184,26.4263,2703,0
-23.8055,190.216,3008,1470,1500,0,0.199116,-173.408,25.9802,2803,0
-9.58483,167.673,3013,1483,1500,0,0.103533,-173.498,25.826,2903,0
-19.3825,182.517,3017,1461,1500,0,0.0742855,-173.492,26.1901,3004,0
-56.4146,196.102,3034,1433,1500,0,1.32836,-173.674,25.8388,3104,0
-65.7161,206.981,3031,1455,1500,0,2.88921,-173.611,26.1916,3204,0
-82.7635,233.052,3017,1455,1500,0,1.93197,-173.352,26.1642,3304,0
-90.1307,178.011,3050,1452,1500,0,1.79187,-173.264,25.9485,3404,0
-109.317,221.588,3071,1439,1500,0,2.1959,-173.119,26.2183,3504,0
-138.387,244.936,3076,1439,1500,0,3.29171,-172.771,26.4215,3605,0
-175.018,295.886,3088,1414,1500,0,3.92037,-172.47,26.4431,3705,0
-156.996,292.016,3089,1414,1500,0,5.9409,-172.176,26.9075,3805,0
-174.548,302.112,3078,1430,1500,0,6.23535,-171.926,26.5458,3905,0
-170.881,277.832,3101,1449,1500,0,5.36694,-171.778,26.7033,4005,0
-174.548,313.377,3111,1442,1500,0,3.35674,-171.752,26.8654,4105,0
-150.022,270.326,3124,1442,1500,0,3.32053,-171.91,26.6964,4206,0
-148.185,270.481,3103,1469,1500,0,3.0346,-172.028,26.5737,4306,0
-137.117,264.642,3106,1460,1500,0,1.11234,-171.958,26.5073,4407,0
-83.5839,254.703,3104,1504,1500,0,0.819287,-172.36,26.3085,4507,0
-73.6071,255.775,3107,1503,1500,0,0.271431,-172.494,26.3859,4608,0
-50.0904,227.182,3100,1483,1500,0,0.233658,-172.467,26.1966,4708,0
-35.8802,221.766,3093,1483,1500,0,0.264413,-172.377,26.2918,4808,0
-7.27828,170.686,3087,1494,1500,0,0.343372,-172.199,25.909,4908,0
1.78638,205.317,3089,1494,1500,0,0.145962,-172.022,26.2351,5008,0
14.8238,194.685,3080,1478,1500,0,-0.00221271,-171.941,26.1371,5108,0
14.4519,201.642,3089,1472,1500,0,-0.0534465,-171.994,26.2973,5208,0
18.8315,216.928,3100,1472,1500,0,-0.132283,-172.061,25.9527,5309,0
19.6285,239.971,3080,1472,1500,0,0.0188339,-172.229,26.3152,5409,0
9.11281,232.297,3100,1463,1500,0,0.37809,-172.517,26.0548,5510,0
13.5865,209.676,3087,1463,1500,0,0.807114,-172.679,26.2793,5610,0
-3.17511,202.993,3085,1456,1500,0,1.2995,-172.752,26.2858,5710,0
-8.32305,209.359,3088,1456,1500,0,1.89203,-172.774,26.5289,5810,0
-27.3224,212.248,3101,1450,1500,0,1.89203,-172.774,26.5089,5911,0
