PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-56.8429,-232.252,2581,1486,1605,0,-1.04204,-165.849,25.0538,0,0
-52.9026,-205.406,2621,1505,1605,0,-0.881562,-165.733,25.2577,104,0
-44.0046,-241.993,2617,1500,1605,0,-0.718909,-165.731,24.7147,204,0
-39.926,-142.537,2642,1497,1605,0,-0.389193,-165.481,24.7552,305,0
-14.6838,-95.4687,2677,1497,1605,0,-0.283508,-165.229,24.8596,405,0
-23.2022,-75.294,2704,1489,1605,0,-0.283508,-165.229,24.8839,505,0
-74.2696,-68.4747,2704,1488,1605,0,-0.153509,-165.3,25.0283,605,0
-64.8865,-61.4302,2689,1497,1605,0,-0.0910824,-165.128,25.2937,705,0
-83.3211,-73.1442,2669,1471,1605,0,-0.0795606,-165.099,25.1137,805,0
-144.811,-117.046,2638,1471,1605,0,-0.337462,-165.514,25.5797,905,0
-187.96,-137.39,2632,1425,1605,0,-0.369422,-165.556,25.6208,1005,0
-186.544,-141.629,2617,1425,1605,0,-0.369422,-165.556,25.7646,1105,0
-272.752,-56.4983,2587,1472,1605,0,3.21914,-166.64,24.6838,1205,0
-268.617,-129.204,2617,1384,1605,0,2.43649,-166.317,25.9134,1305,0
-296.09,-20.1012,2632,1430,1605,0,7.75554,-166.633,24.6494,1405,0
-347.695,-116.448,2619,1402,1605,0,5.39429,-165.849,25.6851,1505,0
-349.953,-115.925,2663,1443,1605,0,6.75903,-165.317,25.8552,1605,0
-626.327,-666.435,2041,1442,1605,0,3.91734,-164.619,19.7955,1705,0
-369.401,-147.611,2673,1659,1605,0,2.19621,-164.398,25.654,1805,0
-361.559,-96.6328,2667,1449,1605,0,-8.61896,-163.537,25.5213,1905,0
-410.588,20.1375,2730,1448,1605,0,-3.75203,-164.87,25.2306,2006,0
-429.363,-41.874,2746,1415,1605,0,-1.59916,-165.239,24.4486,2106,0
-453.13,-92.6453,2701,1415,1605,0,-1.59916,-165.239,25.3249,2206,0
-440.375,-31.4662,2692,1439,1605,0,5.34773,-165.218,25.5872,2306,0
-512.217,56.9749,2693,1356,1605,0,5.34773,-165.218,25.1584,2406,0
-534.88,71.5748,2724,1356,1605,0,11.4856,-165.29,25.4156,2506,0
-513.566,-68.3404,2652,1434,1605,0,12.0661,-164.857,25.2463,2606,0
-495.504,-138.538,2651,1434,1605,0,11.2206,-164.707,24.7511,2706,0
-517.924,-126.735,2718,1395,1605,0,5.55104,-164.801,25.0807,2806,0
-518.137,-146.815,2719,1413,1605,0,6.73358,-165.093,25.4456,2906,0
-500.541,-81.0914,2707,1413,1605,0,6.45202,-165.46,25.1197,3007,0
-449.253,-124.032,2730,1430,1605,0,6.01892,-165.262,25.3761,3107,0
-402.79,-26.65,2733,1469,1605,0,4.95171,-164.805,25.0906,3207,0
-402.85,-52.9095,2760,1469,1605,0,1.30137,-164.264,25.5745,3308,0
-386.487,-33.4653,2778,1445,1605,0,0.862528,-164.486,25.6188,3408,0
-319.658,26.4338,2789,1445,1605,0,2.00162,-164.977,25.1347,3508,0
