PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-192.792,13.5807,2789,1750,1605,0,10.3105,-166.817,25.5189,0,0
-163.939,56.7731,2735,1498,1605,0,10.9796,-166.472,25.1235,100,0
-88.5035,46.964,2816,1498,1605,0,2.82222,-165.153,25.844,200,0
-47.2035,56.4924,2887,1526,1605,0,0.720297,-164.982,25.5981,300,0
657.025,486.528,2144,1526,1605,0,0.338601,-164.767,11.4316,400,0
48.4699,41.7628,2878,1250,1605,0,0.229164,-164.274,25.4355,500,0
75.2279,77.9503,2898,1532,1605,0,3.99695,-164.16,24.9724,600,0
98.0248,71.3883,2871,1533,1605,0,3.99695,-164.16,25.2696,700,0
140.413,83.83,2840,1533,1605,0,3.65831,-161.957,26.0788,800,0
270.265,45.1296,2904,1556,1605,0,2.67105,-162.028,25.7958,900,0
315.368,11.7033,2892,1556,1605,0,2.67105,-162.028,25.6558,1000,0
363.848,-49.0474,2878,1595,1605,0,2.67105,-162.028,25.1551,1100,0
496.218,-32.9805,2891,1687,1605,0,-8.37197,-164.288,23.8375,1200,0
542.855,-92.9507,2867,1687,1605,0,-14.8437,-163.847,25.4391,1300,0
559.546,-129.204,2767,1599,1605,0,-16.4799,-164.36,24.5973,1400,0
583.716,-157.415,2712,1600,1605,0,-10.6479,-164.679,25.7763,1500,0
559.08,-135.508,2811,1565,1605,0,-7.69348,-164.025,26.5841,1600,0
508.582,-186.626,2802,1536,1605,0,-3.91746,-163.473,25.9583,1700,0
434.483,-167.223,2769,1505,1605,0,-0.623561,-162.917,25.5023,1800,0
261.764,-185.279,2694,1396,1605,0,0.482394,-162.639,25.4228,1900,0
184.795,-136.162,2692,1396,1605,0,8.06233,-163.616,25.6117,2000,0
108.149,-112.018,2640,1455,1605,0,9.29721,-164.192,25.5764,2100,0
51.2781,-90.2353,2626,1455,1605,0,5.17104,-164.143,26.3066,2200,0
-1.24489,-104.273,2674,1463,1605,0,3.47932,-164.53,26.2036,2300,0
-104.236,-154.675,2656,1400,1605,0,2.39083,-164.817,26.3877,2400,0
-168.353,-143.873,2663,1400,1605,0,7.26303,-165.428,26.2519,2500,0
-256.01,-65.9335,2669,1390,1605,0,8.54491,-165.557,25.8308,2600,0
-277.416,-47.5412,2693,1443,1605,0,8.68543,-165.331,25.9737,2700,0
-263.743,-125.36,2698,1443,1605,0,5.08386,-164.515,26.2276,2800,0
-434.856,-461.023,1097,1292,1605,0,4.70158,-164.371,23.2957,2900,0
