PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-581.628,-8.94212,2625,1384,1605,0,5.26513,-137.266,27.3178,1,0
-993.093,-398.938,1990,1250,1605,0,9.60474,-137.09,21.0984,101,0
-580.538,-30.4983,2799,1250,1605,0,21.9373,-137.305,27.0803,201,0
-571.15,-184.708,2670,1750,1605,0,23.0951,-136.741,26.8125,301,0
-581.811,-180.81,2740,1418,1605,0,16.413,-135.463,27.4685,401,0
-566.117,-176.03,2900,1398,1605,0,9.37211,-135.011,27.081,501,0
-561.057,-12.5225,3001,1414,1605,0,8.29232,-135.197,27.2146,601,0
-488.039,63.3518,2972,1414,1605,0,7.05766,-135.161,26.5228,701,0
