PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-200.99,319.952,1078,1483,1500,0,5.32366,142.129,2.11582,7606,1.714
-161.965,317.105,1071,1483,1500,0,5.78731,142.026,2.11788,7706,1.714
-147.25,316.975,1075,1505,1500,0,5.98036,141.228,2.10408,7806,1.723
-112.313,324.109,1080,1509,1500,0,6.57221,140.389,2.10538,7906,1.751
-91.7721,330.674,1077,1509,1500,0,6.54017,139.29,2.09324,8006,1.751
-69.5161,333.188,1084,1505,1500,0,6.38388,138.52,2.08069,8106,1.765
-43.7139,339.204,1088,1505,1500,0,6.20393,137.411,2.07797,8206,1.794
13.8114,348.305,1090,1547,1500,0,3.6991,136.582,2.08307,8306,1.803
44.7099,350.344,1093,1529,1500,0,0.896168,135.717,2.07968,8406,1.803
85.073,352.964,1098,1529,1500,0,-0.522268,135.01,2.07918,8506,1.808
150.322,323.795,1087,1574,1500,0,-1.13818,135.08,2.04336,8606,1.812
177.646,314.321,1082,1575,1500,0,-2.23768,136.693,2.03733,8706,1.812
209.505,316.303,1079,1547,1500,0,-4.20937,138.022,2.06694,8807,1.873
249.031,295.341,1068,1568,1500,0,-6.57225,137.377,2.03871,8907,1.883
274.349,288.283,1057,1560,1500,0,-8.87296,136.259,2.0408,9007,1.916
314.868,271.945,1008,1560,1500,0,-11.4796,135.124,2.0506,9107,1.925
336.722,262.526,973,1567,1500,0,-12.547,134.708,2.07906,9207,1.958
348.037,257.265,987,1560,1500,0,-12.5351,135.077,2.10077,9308,1.958
355.784,256.477,969,1560,1500,0,-11.7107,135.395,2.1277,9408,1.972
332.848,258.897,981,1529,1500,0,-12.1889,136.373,2.14331,9508,2.019
309.452,255.283,1000,1526,1500,0,-11.336,136.86,2.11958,9608,2.028
292.157,253.447,1011,1529,1500,0,-10.2499,137.45,2.11103,9708,2.033
241.106,258.864,1025,1529,1500,0,-10.9684,138.427,2.11133,9808,2.056
216.05,258.318,1028,1511,1500,0,-11.1348,139.491,2.09128,9908,2.066
170.251,258.207,1032,1487,1500,0,-11.479,140.585,2.0894,10008,2.066
145.321,257.184,1033,1487,1500,0,-11.4821,141.81,2.08385,10108,2.066
124.368,265.431,1034,1501,1500,0,-11.0728,142.493,2.10788,10208,2.066
93.2909,261.763,1034,1488,1500,0,-10.6307,143.232,2.09505,10308,2.066
64.5355,262.601,1032,1486,1500,0,-9.67199,144.15,2.09127,10408,2.107
9.56602,271.668,1027,1486,1500,0,-8.02491,144.572,2.11617,10508,2.112
-25.2146,268.215,1025,1455,1500,0,-6.54878,144.567,2.10243,10608,2.112
-83.4195,275.895,1020,1439,1500,0,-4.24092,143.949,2.11533,10708,2.178
-106.351,279.481,1019,1465,1500,0,-2.56715,143.36,2.12654,10808,2.178
-133.266,282.101,1024,1465,1500,0,-0.1479,143.395,2.1212,10908,2.178
-172.823,285.494,1028,1441,1500,0,1.7462,144.207,2.14403,11008,2.178
-192.707,282.107,1032,1454,1500,0,2.1445,145.251,2.14499,11108,2.182
-203.76,281.299,1036,1454,1500,0,4.23952,146.546,2.14148,11208,2.182
-207.61,281.552,1037,1460,1500,0,4.91553,148.549,2.13936,11308,2.182
-213.015,278.475,1041,1463,1500,0,6.13386,148.853,2.14395,11408,2.182
-206.729,278.206,1038,1474,1500,0,6.68787,149.399,2.14938,11508,2.182
-198.954,275.923,1048,1476,1500,0,7.52001,149.243,2.14204,11608,2.253
-171.684,286.214,1054,1476,1500,0,7.71788,148.619,2.14082,11708,2.262
-159.445,301.317,1046,1485,1500,0,7.42973,147.425,2.19676,11808,2.262
-122.056,302.172,1026,1512,1500,0,7.77617,145.834,2.16987,11908,2.281
-102.239,297.936,1018,1512,1500,0,8.30779,144.385,2.16014,12008,2.29
-89.6056,296.419,1017,1500,1500,0,9.12239,143.258,2.16879,12108,2.318
-68.0168,291.428,1014,1506,1500,0,8.40619,141.639,2.17219,12208,2.323
-54.4401,291.261,1001,1502,1500,0,7.99336,140.044,2.15974,12308,2.351
-16.5627,291.002,990,1502,1500,0,7.62522,138.67,2.16014,12408,2.356
5.55137,290.557,1001,1528,1500,0,6.66724,138.387,2.15862,12509,2.356
30.0654,292.691,1009,1524,1500,0,6.55963,137.887,2.16073,12609,2.365
59.6681,276.767,1004,1532,1500,0,5.30669,138.219,2.10847,12709,2.375
84.8198,286.178,1026,1532,1500,0,4.37555,138.157,2.1397,12809,2.384
135.436,284.123,1027,1562,1500,0,3.99704,138.596,2.12838,12909,2.389
163.079,293.735,1014,1562,1500,0,3.08228,139.133,2.16333,13009,2.393
207.06,278.912,1029,1567,1500,0,3.09039,139.286,2.12244,13109,2.44
225.462,277.689,1033,1567,1500,0,3.08386,139.422,2.122,13209,2.454
237.746,270.609,1038,1549,1500,0,1.77829,139.11,2.09567,13310,2.51
253.146,272.659,1038,1551,1500,0,-0.250932,138.127,2.09623,13410,2.51
288.36,264.71,1038,1573,1500,0,-2.92252,136.802,2.09467,13510,2.515
300.541,241.226,1037,1573,1500,0,-6.90339,135.206,2.05433,13610,2.585
322.51,235.897,1020,1567,1500,0,-9.14306,134.994,2.08381,13710,2.608
354.439,225.298,1003,1581,1500,0,-10.9003,135.3,2.16543,13810,2.623
353.3,219.556,970,1581,1500,0,-11.8193,135.343,2.17352,13910,2.608
337.575,225.253,973,1553,1500,0,-12.0157,135.166,2.21045,14010,2.637
328.185,235.526,1003,1539,1500,0,-11.5452,135.642,2.222,14110,2.641
307.65,240.839,1004,1531,1500,0,-12.3461,136.89,2.21706,14210,2.651
261.844,249.321,1014,1503,1500,0,-11.8939,138.093,2.18693,14311,2.651
236.806,252.599,1037,1503,1500,0,-11.2923,139.07,2.16908,14411,2.651
209.895,254.838,1050,1511,1500,0,-11.2196,140.945,2.15221,14511,2.651
189.603,259.091,1055,1514,1500,0,-11.7582,141.949,2.14845,14611,2.651
159.602,265.04,1047,1514,1500,0,-11.6216,143.163,2.15563,14711,2.651
143.265,260.151,1052,1502,1500,0,-11.5254,144.333,2.14473,14811,2.651
125.362,255.688,1045,1507,1500,0,-11.8642,146.325,2.13359,14911,2.651
91.877,257.527,1045,1489,1500,0,-12.041,147.371,2.13142,15011,2.651
74.7849,260.725,1046,1489,1500,0,-12.1098,148.427,2.13501,15112,2.651
53.0494,263.5,1047,1493,1500,0,-11.6784,148.826,2.13367,15212,2.651
31.168,268.004,1047,1490,1500,0,-12.0974,149.596,2.14377,15312,2.651
-25.6554,270.497,1036,1490,1500,0,-11.942,149.967,2.13866,15412,2.745
-82.2784,280.749,1032,1443,1500,0,-10.6383,150.229,2.15271,15512,2.763
-109.06,290.624,1031,1464,1500,0,-9.5051,150.758,2.1699,15612,2.796
-142.179,295.973,1039,1454,1500,0,-6.53875,151.367,2.17547,15712,2.796
-173.157,301.534,1043,1451,1500,0,-4.70895,152.173,2.18212,15812,2.796
-240.779,311.848,1041,1451,1500,0,-2.17759,153.223,2.23062,15912,2.796
-273.767,304.978,1044,1434,1500,0,1.34935,154.091,2.22667,16012,2.801
-305.777,295.815,1042,1429,1500,0,4.00318,154.373,2.22505,16112,2.805
-354.143,273.71,1031,1429,1500,0,6.32816,154.551,2.19886,16213,2.805
-368.07,260.952,1013,1435,1500,0,8.35355,154.608,2.18091,16313,2.801
-389.669,251.251,982,1425,1500,0,8.8966,154.227,2.19414,16413,2.801
-387.194,241.839,979,1424,1500,0,9.57791,153.862,2.15383,16513,2.801
-383.879,243.756,983,1445,1500,0,9.2883,153.04,2.17343,16613,2.801
-371.453,242.949,977,1446,1500,0,8.73332,152.359,2.15739,16713,2.801
-357.619,246.312,995,1458,1500,0,7.85292,152.026,2.15834,16813,2.801
-303.048,257.619,1016,1501,1500,0,5.83215,151.835,2.17265,16913,2.801
