PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time
-21.3801,22.9553,777,1493,1605,0,-0.514301,148.086,2.06546,0
-20.7042,18.3418,775,1496,1605,0,0.53313,148.35,2.07453,100
-23.4583,20.0105,775,1497,1605,0,0.48249,148.206,2.07237,200
-22.3075,22.1428,776,1497,1605,0,1.08284,147.108,2.06654,300
-23.7888,20.8584,775,1497,1605,0,0.490055,146.484,2.06128,400
-19.7849,22.8552,777,1500,1605,0,0.492927,146.342,2.06481,500
-16.8506,25.846,779,1499,1605,0,0.364227,146.095,2.0682,600
-4.34215,24.2585,782,1499,1605,0,1.09413,146.102,2.05591,700
4.55116,26.5637,783,1509,1605,0,1.43424,146.205,2.05694,800
17.1918,29.1702,787,1508,1605,0,0.748475,146.133,2.0547,900
31.7427,34.3546,790,1513,1605,0,0.708319,146.103,2.05446,1000
48.3472,34.2872,793,1521,1605,0,0.464218,145.907,2.0558,1100
65.1559,37.4384,796,1521,1605,0,0.464218,145.907,2.03415,1200
108.602,43.5573,801,1524,1605,0,0.464218,145.907,2.03257,1300
130.113,44.9757,800,1537,1605,0,0.464218,145.907,2.03306,1400
184.091,42.2676,798,1538,1605,0,0.697458,145.314,2.02914,1500
213.078,39.864,792,1557,1605,0,-0.243216,145.514,2.0184,1600
249.665,26.0694,786,1569,1605,0,-2.68348,145.686,2.02838,1700
286.101,40.2597,779,1574,1605,0,-4.45093,144.844,2.13153,1800
431.776,54.7066,751,1575,1605,0,-5.61062,143.476,2.24343,2212
435.944,63.3724,773,1570,1605,0,-5.69758,143.739,2.24234,2312
437.146,81.7859,778,1568,1605,0,-4.73591,144.126,2.23352,2412
434.365,98.1418,810,1569,1605,0,-3.69346,144.047,2.24013,2512
425.184,117.382,831,1559,1605,0,-3.50158,143.841,2.22434,2612
409.505,126.506,858,1559,1605,0,-2.69745,143.964,2.20374,2713
371.098,156.82,901,1526,1500,0,-2.45139,144.2,2.15881,2813
347.385,171.023,930,1536,1500,0,0.0716844,144.684,2.10876,2913
323.493,187.065,956,1532,1500,0,0.28633,144.735,2.06885,3013
298.422,212.033,980,1528,1500,0,0.241258,144.357,2.06153,3113
263.156,248.955,1014,1514,1500,0,0.0969263,143.675,2.05597,3214
250.872,260.765,1026,1514,1500,0,-1.02774,142.39,2.05442,3314
230.109,278.897,1042,1522,1500,0,-1.15402,141.775,2.05847,3414
219.546,283.202,1048,1522,1500,0,-1.3443,140.768,2.06134,3514
210.649,284.771,1054,1530,1500,0,-1.52289,140.077,2.06942,3614
-70.3442,284.676,972,1530,1500,0,-1.07385,146.593,2.07444,5000
-84.9302,281.805,961,1480,1500,0,-0.772465,147.093,2.09293,5100
-101.399,281.668,954,1476,1500,0,-0.0393247,147.484,2.09322,5200
-122.829,281.78,953,1476,1500,0,-0.0247906,147.432,2.09955,5300
-143.823,279.421,945,1466,1500,0,0.330877,147.097,2.10342,5400
-186.307,285.219,951,1441,1500,0,2.19837,146.514,2.11492,5500
-208.327,316.538,963,1441,1500,0,3.15126,146.213,2.20149,5600
-234.373,320.722,974,1455,1500,0,3.99258,146.487,2.22424,5700
-253.155,320.681,987,1447,1500,0,3.35822,146.712,2.21731,5800
-275.545,328.175,994,1447,1500,0,3.35822,146.712,2.21178,5900
-279.816,321.856,991,1444,1500,0,3.35822,146.712,2.22508,6000
-280.793,322.407,988,1461,1500,0,3.7018,146.889,2.22852,6100
-273.777,318.132,981,1468,1500,0,3.7018,146.889,2.20838,6200
-244.978,309.878,958,1468,1500,0,1.4246,146.976,2.18521,6300
-220.386,308.758,950,1491,1500,0,1.33227,146.431,2.18783,6400
-197.42,276.808,941,1493,1500,0,0.920643,146.165,2.09316,6500
-174.548,272.146,931,1493,1500,0,0.920643,146.165,2.08871,6600
-125.401,260.94,913,1493,1500,0,0.920643,146.165,2.0638,6700
-98.2463,257.688,910,1525,1500,0,0.920643,146.165,2.05337,6800
-67.4198,257.328,909,1510,1500,0,-0.278537,146.888,2.04782,6900
-42.4615,253.376,915,1518,1500,0,-0.293711,147.11,2.04121,7001
11.6,257.745,928,1517,1500,0,-0.293711,147.11,2.0249,7101
40.5725,265.278,943,1517,1500,0,-0.337579,148.044,2.02454,7201
68.056,266.995,960,1533,1500,0,-0.509957,148.429,2.00543,7301
98.0797,273.212,970,1536,1500,0,-1.47807,147.766,1.98928,7401
159.742,289.482,990,1579,1500,0,-2.42071,147.356,1.98843,7501
196.096,300.143,987,1579,1500,0,-2.42071,147.356,2.0074,7601
226.156,302.589,1002,1562,1500,0,-7.48357,147.134,1.99307,7701
271.967,294.4,989,1583,1500,0,-6.72208,147.206,2.02413,7802
292.607,281.647,1016,1583,1500,0,-6.72208,147.206,2.03101,7902
293.179,278.67,989,1548,1500,0,-6.72208,147.206,1.99876,8002
288.05,284.953,1016,1548,1500,0,-3.65614,150.083,2.02829,8102
267.188,297.921,1014,1526,1500,0,-3.65614,150.083,2.04471,8202
204.701,326.315,1005,1482,1500,0,0.228708,153.558,2.06468,8302
162.292,330.363,1001,1482,1500,0,1.16478,154.26,2.06314,8402
128.015,341.996,987,1495,1500,0,1.25129,154.068,2.07254,8502
65.2193,333.99,983,1495,1500,0,1.25129,154.068,2.06008,8602
42.2944,335.43,982,1492,1500,0,1.25129,154.068,2.07608,8702
26.5247,340.93,996,1495,1500,0,1.25129,154.068,2.07178,8802
14.5775,347.735,1009,1495,1500,0,-0.849797,146.659,2.07622,8902
-148.842,465.625,1209,1497,1500,0,1.08387,142.096,2.16883,9725
