PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time
141.484,289.86,1047,1519,1500,0,0.212911,150.658,2.04467,0
148.678,291.253,1048,1528,1500,0,0.212911,150.658,2.04228,101
151.606,286.643,1047,1528,1500,0,1.17985,150.333,2.03268,201
163.812,292.53,1045,1525,1500,0,1.0747,149.466,2.06226,301
184.59,283.224,1040,1546,1500,0,0.276995,148.553,2.04538,401
200.066,276.377,1036,1546,1500,0,-1.09601,147.575,2.02802,501
224.361,270.311,1036,1555,1500,0,-1.97789,144.909,2.02193,601
270.986,264.594,1035,1555,1500,0,-3.04577,144.06,2.0252,701
295.151,260.329,1033,1566,1500,0,-3.88169,144.365,2.02902,801
314.783,260.265,1026,1565,1500,0,-4.78815,144.592,2.04539,901
330.663,252.127,1022,1565,1500,0,-4.81119,144.465,2.04583,1001
341.476,248.622,1002,1565,1500,0,-3.99453,143.68,2.05116,1102
348.186,252.398,1020,1563,1500,0,-3.5834,142.495,2.06574,1202
337.502,257.651,1011,1563,1500,0,-3.6201,142.259,2.07354,1302
330.388,258.775,1036,1545,1500,0,-2.75433,139.531,2.08491,1402
295.187,267.09,1035,1518,1500,0,-2.75433,139.531,2.07971,1503
277.396,267.089,1048,1518,1500,0,-1.58747,136.877,2.1047,1603
250.845,269.602,1045,1519,1500,0,-1.58747,136.877,2.11236,1703
224.796,276.355,1046,1519,1500,0,-0.331829,136.571,2.12841,1803
169.353,290.086,1049,1483,1500,0,-0.263137,137.455,2.1433,1903
136.562,289.623,1050,1483,1500,0,-0.263137,137.455,2.13188,2003
109.484,298.392,1022,1498,1500,0,0.330137,139.344,2.14916,2103
83.4899,285.126,1005,1498,1500,0,-0.0585827,139.621,2.11168,2204
31.4849,286.074,982,1495,1500,0,-0.0374515,139.717,2.10062,2304
10.1464,286.647,946,1465,1500,0,0.478127,139.595,2.10997,2404
-35.6115,293.559,936,1461,1500,0,0.478127,139.595,2.12433,2504
-62.058,297.141,926,1461,1500,0,0.136529,139.375,2.12688,2604
-84.3529,300.54,930,1473,1500,0,-0.640399,139.456,2.12803,2704
-109.613,306.959,933,1467,1500,0,-1.3115,139.778,2.13757,2804
-151.076,326.82,961,1447,1500,0,-1.07705,139.68,2.13753,2904
-180.329,338.38,989,1447,1500,0,-1.07705,139.68,2.16024,3004
-221.242,340.518,980,1452,1500,0,3.37498,138.824,2.17415,3104
-253.615,347.187,1004,1438,1500,0,5.00847,141.67,2.17206,3204
-284.046,355.231,1013,1438,1500,0,5.99286,144.787,2.18613,3304
-322.134,394.888,1048,1423,1500,0,6.42007,147.727,2.26793,3404
-329.451,396.22,1043,1422,1500,0,6.42007,147.727,2.2498,3504
-329.007,389.451,1036,1454,1500,0,7.36856,149.284,2.24434,3604
-312.137,368.68,1024,1453,1500,0,5.8039,149.49,2.21146,3704
-267.136,344.954,1005,1500,1500,0,2.98673,149.827,2.14568,3804
-224.436,329.535,1003,1500,1500,0,2.98673,149.827,2.14412,3904
-180.333,296.016,999,1512,1500,0,1.51289,148.253,2.04568,4004
-131.078,287.119,996,1512,1500,0,0.722141,146.177,2.05096,4104
-29.1392,274.88,987,1524,1500,0,0.394388,145.187,2.04999,4204
21.9385,265.097,982,1584,1500,0,-0.946453,144.084,2.03169,4304
130.979,268.525,980,1614,1500,0,-4.749,143.251,2.06555,4404
200.001,256.766,997,1614,1500,0,-9.12708,142.052,2.0792,4504
249.492,203.35,996,1590,1500,0,-10.1124,141.635,2.00103,4604
313.383,204.141,969,1582,1500,0,-8.15318,141.761,2.08934,4704
374.916,222.545,971,1604,1500,0,-7.66995,141.79,2.19454,4804
377.203,219.369,959,1611,1500,0,-8.75088,142.728,2.19094,4904
370.261,199.639,949,1553,1500,0,-9.00436,143.847,2.15327,5004
375.465,213.043,943,1553,1500,0,-3.87241,145.598,2.23569,5104
