PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-298.945,358.404,1070,1459,1500,0,0.214115,150.647,1.90986,7106,0
-318.167,346.73,1074,1443,1500,0,0.214115,150.647,1.82753,7206,0
-315.753,369.657,1081,1443,1500,0,0.214115,150.647,1.8876,7307,0
-323.694,370.827,1080,1443,1500,0,0.214115,150.647,1.88397,7407,0
-350.396,363.059,1081,1430,1500,0,0.214115,150.647,1.84626,7507,0
-351.307,363.258,1055,1430,1500,0,4.35609,151.368,1.83477,7607,0
-352.074,361.509,1066,1451,1500,0,4.81288,151.249,1.83183,7707,0
-350.397,352.12,1045,1453,1500,0,3.05459,150.44,1.8191,7807,0
-315.929,359.235,1072,1453,1500,0,3.18201,148.853,1.84048,7913,0
-300.21,363.017,1062,1486,1500,0,3.18201,148.853,1.82804,8013,0
-279.146,340.172,1080,1472,1500,0,1.12461,145.337,1.75418,8113,0
-261.911,375.874,1088,1479,1500,0,0.594482,144.226,1.80341,8213,0
-238.846,370.828,1092,1479,1500,0,0.0962287,143.847,1.79899,8313,0
-212.579,350.043,1093,1493,1500,0,-0.400692,144.335,1.74376,8413,0
-228.008,328.888,1081,1455,1500,0,-0.45803,145.362,1.64456,8513,0
-178.054,343.063,1070,1455,1500,0,1.01691,147.239,1.7106,8613,0
-160.553,363.205,1063,1493,1500,0,1.33529,148.562,1.79141,8713,0
-154.072,369.991,1063,1493,1500,0,0.726318,151.955,1.80317,8813,0
-139.845,360.347,1056,1493,1500,0,0.953298,152.664,1.76426,8913,0
-125.178,371.952,1063,1493,1500,0,0.512927,153.538,1.7805,9013,0
-113.159,370.207,1074,1495,1500,0,1.01194,153.332,1.76975,9113,0
-105.375,377.853,1081,1492,1500,0,0.920236,152.921,1.77997,9213,0
-97.6164,378.435,1079,1492,1500,0,1.17468,152.461,1.78891,9313,0
-92.0555,376.402,1084,1492,1500,0,1.02937,151.379,1.77497,9413,0
-68.6977,380.442,1071,1511,1500,0,0.0466219,150.924,1.78965,9513,0
-63.2985,366.688,1052,1511,1500,0,-0.0471307,150.855,1.77082,9613,0
-39.3957,347.004,1036,1516,1500,0,-0.292852,151.194,1.74655,9713,0
-31.3754,351.007,1021,1516,1500,0,0.210625,151.358,1.7885,9813,0
-18.994,339.166,1025,1509,1500,0,0.610844,151.726,1.79382,9913,0
-7.78408,323.424,1015,1510,1500,0,0.637595,151.739,1.80274,10013,0
-3.09459,313.423,991,1509,1500,0,0.425216,151.907,1.79578,10113,0
6.12564,303.222,979,1510,1500,0,-0.0317032,152.039,1.78639,10214,0
29.1381,291.557,985,1510,1500,0,-0.0733331,152.067,1.77809,10314,0
35.4807,295.571,980,1512,1500,0,0.284978,152.529,1.79614,10414,0
45.1334,290.418,973,1512,1500,0,0.268812,152.612,1.80644,10514,0
46.717,290.4,971,1516,1500,0,0.268812,152.612,1.79508,10614,0
48.5418,291.713,982,1510,1500,0,-0.280822,152.534,1.80494,10714,0
52.9044,291.761,993,1510,1500,0,-0.590083,152.595,1.79337,10814,0
55.2299,295.963,983,1513,1500,0,-0.883943,152.745,1.81082,10914,0
55.3147,277.692,999,1512,1500,0,-0.661495,152.899,1.76211,11014,0
53.78,290.886,993,1510,1500,0,-0.892784,153.338,1.7974,11114,0
50.8208,288.518,976,1507,1500,0,-0.280163,153.743,1.79425,11214,0
41.5767,279.973,958,1500,1500,0,0.889298,153.819,1.81128,11315,0
32.6362,278.388,966,1500,1500,0,0.889298,153.819,1.82446,11415,0
23.0662,257.643,942,1497,1500,0,-0.399049,152.908,1.78672,11515,0
16.708,237.205,954,1497,1500,0,-0.14532,152.13,1.77697,11615,0
21.0141,220.681,891,1499,1500,0,0.0968284,151.735,1.80346,11715,0
18.5458,205.828,879,1509,1500,0,0.384266,152.41,1.79785,11815,0
18.414,193.187,877,1502,1500,0,0.0296029,153.485,1.79989,11915,0
16.489,186.979,870,1503,1500,0,-0.258005,154.565,1.77906,12015,0
11.7355,169.294,848,1500,1500,0,-0.647581,155.145,1.81436,12116,0
12.5413,160.619,847,1500,1500,0,-0.647581,155.145,1.82554,12216,0
12.2402,155.461,826,1503,1500,0,-1.12868,155.165,1.84143,12316,0
0.919637,127.767,821,1503,1500,0,-0.720493,155.713,1.77763,12416,0
7.55789,147.05,819,1492,1605,0,-0.370127,155.969,1.83266,12516,0
1.04826,142.625,822,1496,1605,0,-0.0950042,156.119,1.79424,12616,0
-9.0676,151.436,830,1496,1605,0,-0.198186,156.141,1.78436,12716,0
-15.2489,167.935,846,1494,1500,0,-0.868994,155.807,1.80268,12816,0
-29.2828,180.9,861,1494,1500,0,-0.46586,155.073,1.77985,12916,0
-54.1342,172.269,879,1485,1500,0,-0.184503,154.387,1.71587,13016,0
-48.4798,205.342,890,1499,1500,0,-0.045273,153.987,1.78243,13116,0
-59.7222,224.789,900,1499,1500,0,0.488743,153.178,1.80157,13216,0
-82.6706,244.097,931,1470,1500,0,0.576638,153.155,1.81869,13316,0
-96.1886,250.132,943,1470,1500,0,0.455611,153.371,1.82332,13416,0
-108.407,247.356,935,1470,1500,0,0.455611,153.371,1.79217,13516,0
-120.808,262.553,955,1473,1500,0,0.666332,153.697,1.82009,13616,0
-150.483,265.477,961,1473,1500,0,0.887676,153.444,1.83244,13716,0
-158.817,262.045,952,1470,1500,0,0.887676,153.444,1.82263,13816,0
-177.26,238.043,955,1459,1500,0,1.47483,153.263,1.77644,13916,0
-188.28,237.953,949,1458,1500,0,2.04755,154.335,1.77403,14016,0
-214.31,233.486,935,1458,1500,0,2.05051,154.457,1.78852,14116,0
-220.134,226.497,939,1446,1500,0,3.16734,154.839,1.77152,14216,0
-222.301,214.608,911,1462,1500,0,2.85148,154.346,1.77662,14316,0
-227.615,232.117,910,1462,1500,0,1.85729,153.844,1.8689,14416,0
-225.769,186.603,905,1461,1500,0,0.965257,152.221,1.77225,14516,0
-219.632,188.732,907,1472,1500,0,-0.071834,149.929,1.76827,14616,0
-216.415,193.829,894,1471,1500,0,-0.680699,148.368,1.78528,14716,0
-215.288,188.634,910,1469,1500,0,-0.380396,147.031,1.76633,14816,0
-235.075,175.761,884,1447,1500,0,-0.203346,146.783,1.75832,14917,0
-240.069,177.203,895,1446,1500,0,-0.203346,146.783,1.74734,15017,0
-252.017,175.474,876,1446,1500,0,2.67528,146.043,1.75149,15117,0
-250.192,206.567,887,1462,1500,0,1.71956,146.991,1.86696,15217,0
-250.68,214.162,896,1462,1500,0,1.17189,147,1.86371,15317,0
-253.066,220.642,909,1457,1500,0,1.42119,146.919,1.83957,15417,0
-254.581,233.044,936,1457,1500,0,2.15731,148.258,1.85862,15518,0
-258.986,241.209,932,1454,1500,0,2.75035,149.832,1.84567,15618,0
-245.839,256.294,952,1471,1500,0,2.87117,151.459,1.87228,15718,0
-253.547,266.936,951,1471,1500,0,1.17344,153.657,1.84744,15818,0
-231.985,269.729,976,1471,1500,0,1.17344,153.657,1.86188,15918,0
-236.842,277.196,986,1479,1500,0,0.438152,154.737,1.8106,16018,0
-223.073,266.621,1009,1474,1500,0,0.447605,154.206,1.75084,16119,0
-234.164,252.679,999,1451,1500,0,0.669338,153.463,1.68804,16219,0
-220.889,257.996,995,1451,1500,0,2.01888,152.805,1.67828,16319,0
-191.898,267.638,983,1491,1500,0,1.77927,152.512,1.73656,16419,0
-187.395,272.666,1001,1491,1500,0,1.77927,152.512,1.75423,16519,0
-171,267.947,988,1483,1500,0,-0.117274,150.253,1.71356,16619,0
-153.157,271.552,995,1483,1500,0,0.0379761,150.201,1.72176,16720,0
-165.785,288.605,1011,1459,1500,0,0.651049,151.148,1.74427,16820,0
-134.9,310.771,1015,1500,1500,0,0.562095,152.29,1.81201,16920,0
-131.938,316.9,1003,1500,1500,0,-0.3049,153.492,1.81364,17020,0
-125.552,320.088,1017,1500,1500,0,-0.225822,154.062,1.80538,17120,0
